rating	group	birthYear	deathYear	author	secondName	total	poems	share	position
1	золотой век	1799	1837	А. С. Пушкин	Пушкин	6259109	777	 0.179687712844342 	left
2	золотой век	1814	1841	М. Ю. Лермонтов	Лермонтов	2638817	188	 0.0757556692725381 	right
3	имажинизм	1895	1925	С. А. Есенин	Есенин	2261736	387	 0.0649303549271485 	right
4	не показываем	1821	1878	Н. А. Некрасов	Некрасов	1331906	141	 0.038236615285603 	right
5	символизм	1880	1921	А. А. Блок	Блок	1155671	238	 0.0331772267890738 	right
6	не показываем	1803	1873	Ф. И. Тютчев	Тютчев	1155073	362	 0.0331600592893097 	right
7	футуризм	1893	1930	В. В. Маяковский	Маяковский	1002062	305	 0.0287673898806087 	right
8	акмеизм	1889	1966	А. А. Ахматова	Ахматова	925671	858	 0.0265743422644237 	left
9	не показываем	1820	1892	А. А. Фет	Фет	765599	219	 0.0219789643008158 	right
10	золотой век	1769	1844	И. А. Крылов	Крылов	681173	78	 0.0195552463491718 	right
11	детская поэзия	1887	1964	С. Я. Маршак	Маршак	651994	401	 0.0187175699685424 	right
12	не показываем	1940	1996	И. А. Бродский	Бродский	645203	575	 0.0185226126259037 	right
13	не показываем	1892	1941	М. И. Цветаева	Цветаева	612309	1260	 0.0175782853061044 	right
14	авторская песня	1938	1980	В. С. Высоцкий	Высоцкий	564086	205	 0.016193890086834 	right
15	футуризм	1890	1960	Б. Л. Пастернак	Пастернак	555686	309	 0.0159527412607163 	right
16	детская поэзия	1882	1969	К. И. Чуковский	Чуковский	378848	37	 0.0108760417234551 	left
17	не показываем	1928	н.в.	Н. Н. Добронравов	Добронравов	369408	244	 0.0106050363760086 	right
18	военная лирика	1915	1979	К. М. Симонов	Симонов	363157	86	 0.010425581457906 	right
19	детская поэзия	1913	2009	С. В. Михалков	Михалков	321787	73	 0.00923792348927653 	left
20	золотой век	1795	1829	А. С. Грибоедов	Грибоедов	312109	1	 0.00896008559175668 	right
21	футуризм	1903	1958	Н. А. Заболоцкий	Заболоцкий	284504	154	 0.00816759590783074 	right
22	не показываем	1870	1953	И. А. Бунин	Бунин	278393	127	 0.00799216013683014 	right
23	детская поэзия	1906	1981	А. Л. Барто	Барто	261395	101	 0.00750417826226491 	right
24	золотой век	1783	1852	В. А. Жуковский	Жуковский	255537	104	 0.00733600566424143 	right
25	акмеизм	1886	1921	Н. С. Гумилёв	Гумилёв	255537	187	 0.00733600566424143 	right
26	авторская песня	1934	1984	Ю. И. Визбор	Визбор	228887	411	 0.00657093230518957 	right
27	авторская песня	1924	1997	Б. Ш. Окуджава	Окуджава	222733	220	 0.0063942620818648 	left
28	не показываем	1817	1875	А. К. Толстой	А. К. Толстой	221952	137	 0.00637184098267458 	right
29	не показываем	1923	2004	Э. А. Асадов	Асадов	213149	64	 0.00611912275454199 	right
30	военная лирика	1910	1971	А. Т. Твардовский	Твардовский	207713	77	 0.00596306501421156 	left
31	не показываем	1932	1994	Р. И. Рождественский	Рождественский	204558	77	 0.00587249066344951 	right
32	футуризм	1887	1941	И. Северянин	Северянин	194733	119	 0.00559043266147261 	left
33	военная лирика	1900	1973	М. В. Исаковский	Исаковский	188416	68	 0.00540908300259341 	right
34	не показываем	1974	2001	Б. Б. Рыжий	Рыжий	176975	316	 0.00508063255978245 	left
35	символизм	1873	1924	В. Я. Брюсов	Брюсов	175866	199	 0.0050487951730962 	right
36	не показываем	1920	1990	Д. С. Самойлов	Самойлов	169112	160	 0.00485490003362017 	right
37	не показываем	1932	н.в.	Е. А. Евтушенко	Евтушенко	165975	133	 0.00476484243034265 	right
38	акмеизм	1891	1938	О. Э. Мандельштам	Мандельштам	162884	234	 0.00467610540397007 	left
39	военная лирика	1898	1949	В. И. Лебедев-Кумач	Лебедев-Кумач	161387	74	 0.00463312923817268 	right
40	военная лирика	1924	1991	Ю. В. Друнина	Друнина	158826	103	 0.00455960755440038 	right
41	авторская песня	1918	1977	А. А. Галич	Галич	157583	146	 0.00452392326977368 	left
42	не показываем	1946	2003	Л. А. Филатов	Филатов	152911	35	 0.00438979858934253 	right
43	символизм	1867	1942	К. Д. Бальмонт	Бальмонт	150771	132	 0.00432836305506969 	right
44	не показываем	1743	1816	Г. Р. Державин	Державин	145800	160	 0.00418565462475649 	right
45	не показываем	1933	2010	А. А. Вознесенский	Вознесенский	136465	120	 0.00391766363763645 	left
46	не показываем	1937	2010	Б. А. Ахмадулина	Ахмадулина	136386	107	 0.0039153956903432 	right
47	не показываем	1959	2007	И. В. Кормильцев	Кормильцев	130435	78	 0.00374455323031628 	left
48	не показываем	1910	1975	О. Ф. Берггольц	Берггольц	119224	183	 0.00342270567202996 	right
49	не показываем	1936	1971	Н. М. Рубцов	Рубцов	118762	57	 0.00340944248659349 	right
50	детская поэзия	1937	н.в.	Ю. П. Мориц	Мориц	113737	156	 0.00326518381382668 	right
51	авторская песня	1960	1988	А. Н. Башлачёв	Башлачёв	109921	38	 0.00315563334710465 	left
52	не показываем	1912	1996	Л. И. Ошанин	Ошанин	108920	36	 0.00312689644532563 	left
53	детская поэзия	1918	2000	Б. В. Заходер	Заходер	105576	96	 0.00303089624597594 	right
54	детская поэзия	1937	н.в.	Э. Н. Успенский	Успенский	102347	39	 0.00293819748888857 	right
55	не показываем	1911	1965	В. М. Тушнова	Тушнова	102005	123	 0.00292837928668235 	right
56	символизм	1880	1934	А. Белый	Белый	101127	76	 0.00290317349271433 	right
