rating	author	authorForLink	poem	poemForLink	total	share
1	Ю. П. Мориц	Ю. П. Мориц	Сентябрь	Сентябрь	26808	0.235701662607595
2	Ю. П. Мориц	Ю. П. Мориц	Резиновый ежик	Резиновый ежик	17810	0.156589324494228
3	Ю. П. Мориц	Ю. П. Мориц	Эстонская песня	Эстонская песня	16604	0.145985914873788
4	Ю. П. Мориц	Ю. П. Мориц	Огромный собачий секрет	Огромный собачий секрет	8585	0.0754811538901149
5	Ю. П. Мориц	Ю. П. Мориц	Пони	Пони	5514	0.0484802658765397
6	Ю. П. Мориц	Ю. П. Мориц	Мой подвал	Мой подвал	4284	0.0376658431293247
7	Ю. П. Мориц	Ю. П. Мориц	Малиновая кошка	Малиновая кошка	4106	0.036100829105744
8	Ю. П. Мориц	Ю. П. Мориц	Крыша ехала домой	Крыша ехала домой	4009	0.0352479843850286
9	Ю. П. Мориц	Ю. П. Мориц	Букет котов	Букет котов	2438	0.0214354167948864
10	Ю. П. Мориц	Ю. П. Мориц	Это очень интересно	Это очень интересно	2228	0.0195890519356058
1	Ю. И. Визбор	Ю. И. Визбор	Ты у&#160;меня одна...	Ты у&#160;меня одна	70288	0.307086029350728
2	Ю. И. Визбор	Ю. И. Визбор	Милая моя	Милая моя	24972	0.109101871229034
3	Ю. И. Визбор	Ю. И. Визбор	Если я&#160;заболею...	Если я&#160;заболею	17636	0.0770511212956612
4	Ю. И. Визбор	Ю. И. Визбор	Передо мною горы и&#160;река...	Передо мною горы и&#160;река...	15416	0.0673520121282554
5	Ю. И. Визбор	Ю. И. Визбор	Александра	Александра	11450	0.0500246846697279
6	Ю. И. Визбор	Ю. И. Визбор	Сон под пятницу	Сон под пятницу	5018	0.0219234818928117
7	Ю. И. Визбор	Ю. И. Визбор	Апрельская прогулка	Апрельская прогулка	4118	0.0179914106087283
8	Ю. И. Визбор	Ю. И. Визбор	Осенние дожди	Осенние дожди	3831	0.0167375167659151
9	Ю. И. Визбор	Ю. И. Визбор	Рассказ технолога Петухова	Рассказ технолога Петухова	3778	0.0165059614569635
10	Ю. И. Визбор	Ю. И. Визбор	Мне твердят, что скоро ты любовь найдёшь...	Мне твердят, что скоро ты любовь найдёшь...	3722	0.0162612992437316
1	Ю. В. Друнина	Ю. В. Друнина	Я столько раз видала рукопашный...	Я столько раз видала рукопашный...	33677	0.212037072015917
2	Ю. В. Друнина	Ю. В. Друнина	Зинка	Зинка	32430	0.204185712666692
3	Ю. В. Друнина	Ю. В. Друнина	Октябрь в&#160;Крыму...	Октябрь в&#160;Крыму...	29625	0.186524876279702
4	Ю. В. Друнина	Ю. В. Друнина	Ты&#160;— рядом	Ты&#160;— рядом	14609	0.0919811617745206
5	Ю. В. Друнина	Ю. В. Друнина	Осень	Осень	14401	0.0906715525165905
6	Ю. В. Друнина	Ю. В. Друнина	Болдинская осень	Болдинская осень	12876	0.0810698500245552
7	Ю. В. Друнина	Ю. В. Друнина	Не встречайтесь с&#160;первою любовью...	Не встречайтесь с&#160;первою любовью...	2168	0.0136501580345787
8	Ю. В. Друнина	Ю. В. Друнина	Я ушла из&#160;детства в&#160;грязную теплушку...	Я ушла из&#160;детства в&#160;грязную теплушку...	2124	0.0133731253069397
9	Ю. В. Друнина	Ю. В. Друнина	Я родом не&#160;из&#160;детства&#160;— из&#160;войны...	Я родом не&#160;из&#160;детства&#160;— из&#160;войны...	1829	0.0115157467920869
10	Ю. В. Друнина	Ю. В. Друнина	Качается рожь несжатая...	Качается рожь несжатая...	1824	0.0114842658003098
1	Э. А. Асадов	Э. А. Асадов	Я могу тебя очень ждать...	Я могу тебя очень ждать...	80620	0.378233067009463
2	Э. А. Асадов	Э. А. Асадов	Зимняя сказка	Зимняя сказка	14698	0.0689564576892221
3	Э. А. Асадов	Э. А. Асадов	Стихи о&#160;рыжей дворняге	Стихи о&#160;рыжей дворняге	12180	0.0571431252316455
4	Э. А. Асадов	Э. А. Асадов	Доброта	Доброта	8938	0.0419331078259809
5	Э. А. Асадов	Э. А. Асадов	Слово о&#160;любви	Слово о&#160;любви	8333	0.0390947177795814
6	Э. А. Асадов	Э. А. Асадов	Трусиха	Трусиха	8242	0.0386677863841726
7	Э. А. Асадов	Э. А. Асадов	Когда мне встречается в&#160;людях дурное...	Когда мне встречается в&#160;людях дурное...	7302	0.0342577258162131
8	Э. А. Асадов	Э. А. Асадов	Письмо с&#160;фронта	Письмо с&#160;фронта	7022	0.0329440907534166
9	Э. А. Асадов	Э. А. Асадов	Сатана	Сатана	6619	0.0310533945737489
10	Э. А. Асадов	Э. А. Асадов	Баллада о&#160;ненависти и&#160;любви	Баллада о&#160;ненависти и&#160;любви	6342	0.0297538341723395
1	Э. Н. Успенский	Э. Успенский	Рыжий	Рыжий	20433	0.199644347171876
2	Э. Н. Успенский	Э. Успенский	Разгром	Разгром	15540	0.151836399699063
3	Э. Н. Успенский	Э. Успенский	Если был&#160;бы я&#160;девчонкой...	Если был&#160;бы я&#160;девчонкой	13670	0.133565224188301
4	Э. Н. Успенский	Э. Успенский	Разноцветная семейка	Разноцветная семейка	10115	0.0988304493536694
5	Э. Н. Успенский	Э. Успенский	Песня Бабы&#8209;Яги	Песня Бабы&#8209;Яги	9061	0.0885321504294215
6	Э. Н. Успенский	Э. Успенский	Про Сидорова Вову	Про Сидорова Вову	8847	0.0864412244618797
