rating	writtenYear	name	author	total	share	position	shortName
1	1831	Евгений Онегин	А. С. Пушкин	960113	 0.153394516695587 	right	Евгений Онегин
2	1831	Сказка о царе Салтане	А. С. Пушкин	537456	 0.0858678128148911 	right	Сказка о царе Салтане
3	1824	Горе от ума	А. С. Грибоедов	312109	1	right	Горе от ума
4	1877	Кому на Руси жить хорошо	Н. А. Некрасов	302091	 0.226811051230342 	right	Кому на Руси жить хорошо
5	1833	Сказка о мёртвой царевне и о семи богатырях	А. С. Пушкин	294177	 0.0469998205814917 	right	Сказка о мёртвой царевне...
6	1820	Руслан и Людмила	А. С. Пушкин	271978	 0.0434531496415864 	right	Руслан и Людмила
7	1833	Сказка о рыбаке и рыбке	А. С. Пушкин	253640	 0.0405233396638403 	right	Сказка о рыбаке и рыбке
8	1837	Бородино	М. Ю. Лермонтов	220208	 0.0834495154457471 	right	Бородино
9	1829	Зимнее утро	А. С. Пушкин	215986	 0.0345074674366591 	right	Зимнее утро
10	1941	Жди меня, и я вернусь...	К. М. Симонов	204265	 0.56247022637592 	right	Жди меня, и я вернусь...
11	1906	Незнакомка	А. А. Блок	177653	 0.153722815576405 	right	Незнакомка
12	1833	Осень	А. С. Пушкин	170004	 0.0271610543928856 	right	Осень
13	1826	Пророк	А. С. Пушкин	168542	 0.0269274748210967 	right	Пророк
14	1832	Парус	М. Ю. Лермонтов	168177	 0.063731967771922 	right	Парус
15	1822	Песнь о вещем Олеге	А. С. Пушкин	166740	 0.0266395744186593 	right	Песнь о вещем Олеге
16	1908	Россия	А. А. Блок	156417	 0.135347343664417 	right	Россия
17	1841	Выхожу один я на дорогу...	М. Ю. Лермонтов	152157	 0.0576610655456593 	right	Выхожу один я на дорогу...
18	1924	Письмо к женщине	С. А. Есенин	149401	 0.0660558968862856 	right	Письмо к женщине
19	1912	Ночь, улица, фонарь, аптека...	А. А. Блок	144971	 0.125443140824681 	right	Ночь, улица, фонарь, аптека...
20	1840	И скучно и грустно	М. Ю. Лермонтов	138681	 0.0525542316879117 	right	И скучно и грустно
21	1913	Берёза	С. А. Есенин	138274	 0.0611362245637864 	right	Берёза
22	1829	Я вас любил: любовь ещё, быть может...	А. С. Пушкин	131434	 0.0209988354572512 	right	Я вас любил...
23	1914	Послушайте!	В. В. Маяковский	131397	 0.131126616915919 	right	Послушайте!
24	1990	Про Федота-стрельца, удалого молодца	Л. А. Филатов	127238	 0.832104949938199 	left	Про Федота-стрельца
25	1837	Молитва	М. Ю. Лермонтов	121951	 0.0462142695003102 	right	Молитва
26	1834	Сказка о золотом петушке	А. С. Пушкин	121930	 0.0194804084734744 	right	Сказка о золотом петушке
27	1838	Дума	М. Ю. Лермонтов	121667	 0.0461066455157747 	right	Дума
28	1861	Крестьянские дети	Н. А. Некрасов	119820	 0.0899613035754775 	right	Крестьянские дети
29	1863	Мороз, Красный нос	Н. А. Некрасов	119014	 0.0893561557647462 	right	Мороз, Красный нос
30	1825	К ***	А. С. Пушкин	118981	 0.0190092551511725 	right	К ***
31	1828	Весенняя гроза	Ф. И. Тютчев	118912	 0.102947605908891 	right	Весенняя гроза
32	1822	Узник	А. С. Пушкин	115419	 0.0184401645665541 	right	Узник
33	1839	Мцыри	М. Ю. Лермонтов	115242	 0.0436718423445051 	right	Мцыри
34	1833	Медный всадник	А. С. Пушкин	114769	 0.018336315919726 	right	Медный всадник
35	1829	Полтава	А. С. Пушкин	112897	 0.0180372318168608 	right	Полтава
36	1836	Я памятник себе воздвиг нерукотворный...	А. С. Пушкин	112236	 0.017931625731394 	right	Я памятник себе воздвиг нерукотворный...
37	1915	Мне нравится, что вы больны не мной...	М. И. Цветаева	108507	 0.177209546160517 	right	Мне нравится, что вы больны не мной...
38	1818	К Чаадаеву	А. С. Пушкин	103545	 0.016543089439727 	right	К Чаадаеву
39	1837	Смерть поэта	М. Ю. Лермонтов	103195	 0.0391065390286632 	right	Смерть поэта
40	1948	А что у вас?	С. В. Михалков	103100	 0.320398275878143 	right	А что у вас?
41	1843	Я пришёл к тебе с приветом...	А. А. Фет	101450	 0.132510622401544 	right	Я пришёл к тебе с приветом...
42	1924	Письмо матери	С. А. Есенин	100001	 0.0442142672708044 	right	Письмо матери
43	1830	Сказка о попе и о работнике его Балде	А. С. Пушкин	96494	 0.0154165712723648 	right	Сказка о попе и о работнике его Балде
44	1841	Пророк	М. Ю. Лермонтов	96384	 0.0365254581882715 	right	Пророк
45	1841	Прощай, немытая Россия...	М. Ю. Лермонтов	96109	 0.0364212448229642 	right	Прощай, немытая Россия...
46	1925	Что такое хорошо и что такое плохо?	В. В. Маяковский	94334	 0.0941398835600991 	right	Что такое хорошо и что такое плохо?
47	1925	Ты меня не любишь, не жалеешь...	С. А. Есенин	93767	 0.041457977412041 	right	Ты меня не любишь, не жалеешь...
48	1914	Гой ты, Русь, моя родная...	С. А. Есенин	92845	 0.0410503259443189 	right	Гой ты, Русь, моя родная...
49	1807	Ворона и Лисица	И. А. Крылов	90789	 0.133283321564419 	right	Ворона и Лисица
50	1866	Умом Россию не понять...	Ф. И. Тютчев	90331	 0.078203715263018 	right	Умом Россию не понять...
