rating	poem	author	string
1	А что у вас?	С. В. Михалков	дело было вечером делать было нечего стихотворение читать
2	А что у вас?	С. В. Михалков	дело было вечером делать было нечего
3	А что у вас?	С. В. Михалков	а у&#160;нас в&#160;квартире газ а&#160;у вас
4	А что у вас?	С. В. Михалков	а что у&#160;вас михалков читать
5	А что у вас?	С. В. Михалков	а что у&#160;вас михалков
1	Береза	С. А. Есенин	белая береза под моим окном
2	Береза	С. А. Есенин	белая берёза под моим окном принакрылась снегом точно серебром текст
3	Береза	С. А. Есенин	есенин береза
4	Береза	С. А. Есенин	белая берёза под моим окном
5	Береза	С. А. Есенин	стих белая берёза под моим окном
1	Бородино	М. Ю. Лермонтов	бородино лермонтов
2	Бородино	М. Ю. Лермонтов	лермонтов бородино
3	Бородино	М. Ю. Лермонтов	скажи ка&#160;дядя ведь недаром москва спаленная пожаром французу отдана
4	Бородино	М. Ю. Лермонтов	недаром помнит вся россия сочинение
5	Бородино	М. Ю. Лермонтов	лермонтов бородино читать
1	Весенняя гроза	Ф. И. Тютчев	люблю грозу в&#160;начале мая
2	Весенняя гроза	Ф. И. Тютчев	тютчев весенняя гроза
3	Весенняя гроза	Ф. И. Тютчев	люблю грозу в&#160;начале мая когда весенний первый гром
4	Весенняя гроза	Ф. И. Тютчев	люблю грозу в&#160;начале мая стих
5	Весенняя гроза	Ф. И. Тютчев	весенняя гроза тютчев
1	Ворона и Лисица	И. А. Крылов	басня крылова ворона и&#160;лисица
2	Ворона и Лисица	И. А. Крылов	ворона и&#160;лисица басня крылова
3	Ворона и Лисица	И. А. Крылов	басни крылова ворона и&#160;лисица
4	Ворона и Лисица	И. А. Крылов	крылов ворона и&#160;лисица
5	Ворона и Лисица	И. А. Крылов	басня крылова ворона и&#160;лисица читать
1	Выхожу один я на дорогу...	М. Ю. Лермонтов	выхожу один я&#160;на дорогу лермонтов
2	Выхожу один я на дорогу...	М. Ю. Лермонтов	выхожу один я&#160;на дорогу
3	Выхожу один я на дорогу...	М. Ю. Лермонтов	лермонтов выхожу один я&#160;на дорогу
4	Выхожу один я на дорогу...	М. Ю. Лермонтов	выхожу один я&#160;на дорогу лермонтов стих
5	Выхожу один я на дорогу...	М. Ю. Лермонтов	выхожу один я&#160;на дорогу лермонтов анализ
1	Гой ты, Русь, моя родная...	С. А. Есенин	гой ты&#160;русь моя родная
2	Гой ты, Русь, моя родная...	С. А. Есенин	есенин гой ты&#160;русь моя родная
3	Гой ты, Русь, моя родная...	С. А. Есенин	если крикнет рать святая кинь ты&#160;русь живи в&#160;раю
4	Гой ты, Русь, моя родная...	С. А. Есенин	гой ты&#160;русь моя родная стихотворение
5	Гой ты, Русь, моя родная...	С. А. Есенин	гой ты&#160;русь моя родная анализ
1	Горе от ума	А. С. Грибоедов	грибоедов горе от&#160;ума
2	Горе от ума	А. С. Грибоедов	монолог чацкого а&#160;судьи кто
3	Горе от ума	А. С. Грибоедов	грибоедов горе от&#160;ума читать
4	Горе от ума	А. С. Грибоедов	горе от&#160;ума грибоедов
5	Горе от ума	А. С. Грибоедов	служить бы&#160;рад прислуживаться тошно
1	Дума	М. Ю. Лермонтов	дума лермонтов
2	Дума	М. Ю. Лермонтов	лермонтов дума
3	Дума	М. Ю. Лермонтов	печально я&#160;гляжу на&#160;наше поколенье его грядущее иль пусто иль темно
4	Дума	М. Ю. Лермонтов	печально я&#160;гляжу на&#160;наше поколенье
5	Дума	М. Ю. Лермонтов	дума лермонтов читать
1	Евгений Онегин	А. С. Пушкин	письмо татьяны к&#160;онегину
2	Евгений Онегин	А. С. Пушкин	письмо онегина к&#160;татьяне
3	Евгений Онегин	А. С. Пушкин	письмо татьяны к&#160;онегину текст
4	Евгений Онегин	А. С. Пушкин	любви все возрасты покорны
5	Евгений Онегин	А. С. Пушкин	пушкин евгений онегин
1	Жди меня, и я вернусь...	К. М. Симонов	жди меня и&#160;я вернусь только очень жди
2	Жди меня, и я вернусь...	К. М. Симонов	жди меня и&#160;я вернусь
3	Жди меня, и я вернусь...	К. М. Симонов	жди меня и&#160;я вернусь стих
4	Жди меня, и я вернусь...	К. М. Симонов	стих жди меня и&#160;я вернусь
5	Жди меня, и я вернусь...	К. М. Симонов	жди меня и&#160;я вернусь только очень жди жди когда наводят грусть
1	Зимнее утро	А. С. Пушкин	мороз и&#160;солнце день чудесный
2	Зимнее утро	А. С. Пушкин	зимнее утро пушкин
3	Зимнее утро	А. С. Пушкин	мороз и&#160;солнце день чудесный еще ты&#160;дремлешь друг прелестный
4	Зимнее утро	А. С. Пушкин	пушкин зимнее утро
5	Зимнее утро	А. С. Пушкин	мороз и&#160;солнце день чудесный пушкин
1	И скучно и грустно	М. Ю. Лермонтов	и скучно и&#160;грустно лермонтов
2	И скучно и грустно	М. Ю. Лермонтов	и скучно и&#160;грустно и&#160;некому руку подать
3	И скучно и грустно	М. Ю. Лермонтов	и скучно и&#160;грустно
4	И скучно и грустно	М. Ю. Лермонтов	лермонтов и&#160;скучно и&#160;грустно
5	И скучно и грустно	М. Ю. Лермонтов	и скучно и&#160;грустно и&#160;некому руку подать в&#160;минуту душевной невзгоды
1	К ***	А. С. Пушкин	я помню чудное мгновенье пушкин
2	К ***	А. С. Пушкин	пушкин я&#160;помню чудное мгновение
3	К ***	А. С. Пушкин	я помню чудное мгновенье пушкин стих
4	К ***	А. С. Пушкин	стих пушкина я&#160;помню чудное мгновение
5	К ***	А. С. Пушкин	стихотворение пушкина я&#160;помню чудное мгновение
1	К Чаадаеву	А. С. Пушкин	к чаадаеву пушкин
2	К Чаадаеву	А. С. Пушкин	пушкин к&#160;чаадаеву
