name	author	shareName	shareNotName	string
Евгений Онегин	А. С. Пушкин	0.06	0.94	Письмо Татьяны к Онегину
Руслан и Людмила	А. С. Пушкин	0.14	0.86	У лукоморья дуб зелёный…
Осень	А. С. Пушкин	0.38	0.62	Унылая пора! Очей очарованье…
Зимнее утро	А. С. Пушкин	0.35	0.65	Мороз и солнце; день чудесный!
Крестьянские дети	Н. А. Некрасов	0.29	0.71	Однажды, в студёную зимнюю пору, я из лесу вышел; был сильный мороз…
К ***	А. С. Пушкин	0	1	Я помню чудное мгновенье…
Весенняя гроза	Ф. И. Тютчев	0.25	0.75	Люблю грозу в начале мая…
А что у вас?	С. В. Михалков	0.22	0.78	Дело было вечером, делать было нечего…
Зимний вечер	А. С. Пушкин	0.49	0.51	Буря мглою небо кроет, вихри снежные крутя…
Осень	А. Белый	0.01	0.99	Мои пальцы из рук твоих выпали. Ты уходишь — нахмурила брови…
Осень	А. А. Фет	0.12	0.88	Как грустны сумрачные дни беззвучной осени и хладной…
По-осеннему кычет сова...	С. А. Есенин	0.01	0.99	Скоро мне без листвы холодеть…
Листопад	И. А. Бунин	0.5	0.5	Лес пахнет дубом и сосной…
Реквием	Р. И. Рождественский	0.32	0.68	Помните! Через века, через года, — помните…
Хулиган	С. А. Есенин	0.14	0.86	Плюйся, ветер, охапками листьев…
К ***	М. Ю. Лермонтов	0	1	Я не унижусь пред тобою…
Сага	А. А. Вознесенский	0.03	0.97	Я тебя никогда не забуду…
К. Б.	Ф. И. Тютчев	0.14	0.86	Я встретил вас — и всё былое…
Первое января	М. Ю. Лермонтов	0.02	0.98	Как часто, пёстрою толпою окружён…
Песенка друзей	С. В. Михалков	0.06	0.94	Мы едем, едем, едем в далёкие края…
Я по снам по твоим не ходил...	Б. Б. Рыжий	0.2	0.8	В эту осень мне даже стихи удавались отчасти…
Стихи о советском паспорте	В. В. Маяковский	0.3	0.7	Я достаю из широких штанин…
Осень	В. В. Набоков	0.01	0.99	Ах, осень, моё упоенье, моя золотая печаль…
Чёрный человек	В. С. Высоцкий	0.06	0.94	Спасибо, что живой…
