day	hour	share
1	0	0.1887
1	1	0.1701
1	2	0.2179
1	3	0.4146
1	4	0.6989
1	5	0.8238
1	6	0.8185
1	7	0.6086
1	8	0.6112
1	9	0.6245
1	10	0.6670
1	11	0.6936
1	12	0.6192
1	13	0.6112
1	14	0.7813
1	15	1.0391
1	16	1.2730
1	17	1.2783
1	18	1.0736
1	19	0.8371
1	20	0.5395
1	21	0.3269
1	22	0.2206
1	23	0.1781
2	0	0.1674
2	1	0.1754
2	2	0.3162
2	3	0.5235
2	4	0.7601
2	5	0.8796
2	6	0.7096
2	7	0.7175
2	8	0.6617
2	9	0.7361
2	10	0.7335
2	11	0.6750
2	12	0.6617
2	13	0.7654
2	14	1.0045
2	15	1.1108
2	16	1.3394
2	17	1.4377
2	18	1.3527
2	19	1.0072
2	20	0.6724
2	21	0.5102
2	22	0.3056
2	23	0.2073
3	0	0.1701
3	1	0.1940
3	2	0.2684
3	3	0.5262
3	4	0.7946
3	5	0.8557
3	6	0.8717
3	7	0.7468
3	8	0.7282
3	9	0.7680
3	10	0.7228
3	11	0.7601
3	12	0.6830
3	13	0.6511
3	14	0.9434
3	15	1.2278
3	16	1.4962
3	17	1.5068
3	18	1.3819
3	19	1.1082
3	20	0.6803
3	21	0.3986
3	22	0.2790
3	23	0.2179
4	0	0.1807
4	1	0.1807
4	2	0.2870
4	3	0.4943
4	4	0.8610
4	5	0.9222
4	6	0.8903
4	7	0.8132
4	8	0.7361
4	9	0.7627
4	10	0.8238
4	11	0.7494
4	12	0.7361
4	13	0.6883
4	14	1.0604
4	15	1.3367
4	16	1.4590
4	17	1.6344
4	18	1.4404
4	19	1.1427
4	20	0.7521
4	21	0.5554
4	22	0.4172
4	23	0.2658
5	0	0.2578
5	1	0.2153
5	2	0.2844
5	3	0.5501
5	4	0.9089
5	5	1.0657
5	6	0.8743
5	7	0.8876
5	8	0.7361
5	9	0.7973
5	10	0.7388
5	11	0.7760
5	12	0.7521
5	13	0.8743
5	14	1.1427
5	15	1.6503
5	16	2.0410
5	17	2.1659
5	18	2.3865
5	19	2.1101
5	20	1.9187
5	21	1.5573
5	22	1.2012
5	23	0.9355
6	0	0.6777
6	1	0.4172
6	2	0.3588
6	3	0.4863
6	4	0.6511
6	5	0.7840
6	6	0.7468
6	7	0.7494
6	8	0.8850
6	9	0.8929
6	10	0.9408
6	11	0.9461
6	12	1.0816
6	13	1.2092
6	14	1.3713
6	15	1.5786
6	16	1.7859
6	17	1.9081
6	18	1.9480
6	19	1.7168
6	20	1.4962
6	21	1.2783
6	22	1.0604
6	23	0.7893
7	0	0.5262
7	1	0.3800
7	2	0.3322
7	3	0.3747
7	4	0.4837
7	5	0.6431
7	6	0.7228
7	7	0.6803
7	8	0.6803
7	9	0.7733
7	10	0.8371
7	11	0.9355
7	12	0.9886
7	13	0.9514
7	14	1.0418
7	15	1.2092
7	16	1.2995
7	17	1.2145
7	18	1.0524
7	19	0.8690
7	20	0.5767
7	21	0.3242
7	22	0.2472
7	23	0.2046
