day	hour	share
1	0	0.2641
1	1	0.2608
1	2	0.3515
1	3	0.4622
1	4	0.7362
1	5	1.0884
1	6	1.2358
1	7	1.0724
1	8	0.8957
1	9	0.8438
1	10	0.8274
1	11	0.8871
1	12	0.8858
1	13	0.9177
1	14	0.9208
1	15	0.9581
1	16	0.9623
1	17	1.0271
1	18	1.0814
1	19	1.1060
1	20	0.9648
1	21	0.7110
1	22	0.4430
1	23	0.2838
2	0	0.2112
2	1	0.1923
2	2	0.2802
2	3	0.3814
2	4	0.6891
2	5	1.0671
2	6	1.1821
2	7	1.0136
2	8	0.8997
2	9	0.8601
2	10	0.8389
2	11	0.8857
2	12	0.8967
2	13	0.9108
2	14	0.9168
2	15	0.9783
2	16	0.9851
2	17	1.0905
2	18	1.1660
2	19	1.2312
2	20	1.1209
2	21	0.8365
2	22	0.5371
2	23	0.3281
3	0	0.2273
3	1	0.2136
3	2	0.2817
3	3	0.3800
3	4	0.6574
3	5	1.0842
3	6	1.2111
3	7	1.0568
3	8	0.9385
3	9	0.8964
3	10	0.8686
3	11	0.8923
3	12	0.9139
3	13	0.9433
3	14	0.9830
3	15	1.0467
3	16	1.0210
3	17	1.0695
3	18	1.2417
3	19	1.3345
3	20	1.2408
3	21	0.9421
3	22	0.5941
3	23	0.3693
4	0	0.2435
4	1	0.2337
4	2	0.3028
4	3	0.4227
4	4	0.7015
4	5	1.1278
4	6	1.2609
4	7	1.0718
4	8	0.9701
4	9	0.9189
4	10	0.9073
4	11	0.9293
4	12	0.9613
4	13	0.9755
4	14	1.0258
4	15	1.0841
4	16	1.0866
4	17	1.1960
4	18	1.3393
4	19	1.5078
4	20	1.4178
4	21	1.1083
4	22	0.7015
4	23	0.4490
5	0	0.3012
5	1	0.2653
5	2	0.3285
5	3	0.4593
5	4	0.7812
5	5	1.2037
5	6	1.3457
5	7	1.1671
5	8	1.0458
5	9	1.0117
5	10	0.9964
5	11	1.0378
5	12	1.0717
5	13	1.1138
5	14	1.2152
5	15	1.2798
5	16	1.4110
5	17	1.5503
5	18	1.7215
5	19	1.8838
5	20	2.0657
5	21	2.0850
5	22	1.7693
5	23	1.3310
6	0	0.9731
6	1	0.7686
6	2	0.6746
6	3	0.5913
6	4	0.5668
6	5	0.7688
6	6	0.9919
6	7	1.0699
6	8	1.1271
6	9	1.1088
6	10	1.1112
6	11	1.1690
6	12	1.2510
6	13	1.3060
6	14	1.3609
6	15	1.4530
6	16	1.4623
6	17	1.4910
6	18	1.7131
6	19	1.8900
6	20	2.1196
6	21	2.0959
6	22	1.7468
6	23	1.3231
7	0	0.9343
7	1	0.7820
7	2	0.6321
7	3	0.5034
7	4	0.4040
7	5	0.5109
7	6	0.6848
7	7	0.7494
7	8	0.8458
7	9	0.8867
7	10	0.8958
7	11	0.9502
7	12	1.0021
7	13	1.0442
7	14	1.1064
7	15	1.2100
7	16	1.2318
7	17	1.2564
7	18	1.2907
7	19	1.2628
7	20	1.1568
7	21	0.8994
7	22	0.5697
7	23	0.3661
