day	hour	share
1	0	0.2477
1	1	0.2199
1	2	0.3190
1	3	0.4424
1	4	0.4363
1	5	0.6945
1	6	0.8883
1	7	0.9422
1	8	0.9552
1	9	0.8483
1	10	0.8640
1	11	0.9048
1	12	0.9066
1	13	0.8457
1	14	0.9335
1	15	0.9857
1	16	1.0022
1	17	1.0430
1	18	0.9579
1	19	0.9613
1	20	0.9978
1	21	0.7501
1	22	0.4833
1	23	0.3042
2	0	0.1947
2	1	0.1512
2	2	0.1947
2	3	0.3051
2	4	0.3859
2	5	0.7258
2	6	0.9274
2	7	0.8892
2	8	0.8822
2	9	0.8631
2	10	0.8805
2	11	0.9318
2	12	0.8605
2	13	0.8961
2	14	0.9918
2	15	1.0456
2	16	1.0309
2	17	1.0882
2	18	1.0961
2	19	1.0595
2	20	1.0639
2	21	0.8944
2	22	0.5754
2	23	0.3277
3	0	0.2243
3	1	0.1425
3	2	0.2077
3	3	0.2981
3	4	0.4337
3	5	0.7884
3	6	0.9387
3	7	0.8753
3	8	0.8466
3	9	0.8179
3	10	0.8779
3	11	0.9014
3	12	0.8614
3	13	0.8970
3	14	0.9796
3	15	1.0882
3	16	1.0691
3	17	1.0491
3	18	1.0821
3	19	1.1413
3	20	1.1047
3	21	0.9692
3	22	0.6110
3	23	0.3259
4	0	0.2234
4	1	0.2025
4	2	0.2103
4	3	0.3103
4	4	0.4259
4	5	0.8014
4	6	0.9752
4	7	0.9439
4	8	0.9240
4	9	0.8666
4	10	0.8831
4	11	0.9092
4	12	1.0343
4	13	0.9952
4	14	1.0196
4	15	1.0978
4	16	1.1508
4	17	1.1221
4	18	1.1352
4	19	1.1256
4	20	1.2621
4	21	1.0057
4	22	0.7562
4	23	0.3911
5	0	0.2903
5	1	0.2121
5	2	0.2677
5	3	0.3998
5	4	0.4894
5	5	0.8883
5	6	1.0370
5	7	1.0274
5	8	1.0230
5	9	0.9909
5	10	0.9639
5	11	1.0595
5	12	1.0387
5	13	1.1517
5	14	1.1404
5	15	1.3029
5	16	1.3716
5	17	1.4376
5	18	1.6228
5	19	1.6558
5	20	1.9209
5	21	1.9957
5	22	1.8114
5	23	1.1039
6	0	0.7892
6	1	0.6328
6	2	0.6780
6	3	0.5563
6	4	0.4198
6	5	0.6415
6	6	0.7145
6	7	0.8205
6	8	0.9665
6	9	0.9309
6	10	0.9961
6	11	0.9770
6	12	1.0717
6	13	1.1778
6	14	1.3290
6	15	1.5141
6	16	1.3985
6	17	1.4246
6	18	1.6393
6	19	1.7958
6	20	1.9809
6	21	2.0530
6	22	1.8992
6	23	1.2795
7	0	0.8709
7	1	0.6841
7	2	0.7110
7	3	0.5259
7	4	0.3668
7	5	0.4572
7	6	0.5598
7	7	0.7336
7	8	0.8240
7	9	0.9135
7	10	0.8874
7	11	0.9413
7	12	0.8944
7	13	0.9326
7	14	1.0848
7	15	1.1960
7	16	1.2012
7	17	1.0987
7	18	1.1482
7	19	1.1291
7	20	1.2238
7	21	0.9422
7	22	0.5763
7	23	0.3538
