region	year	month	share
Волгоград	2014	Январь	0,00803512
Волгоград	2014	Февраль	0,008988688
Волгоград	2014	Март	0,010473388
Волгоград	2014	Апрель	0,012991936
Волгоград	2014	Май	0,016407159
Волгоград	2014	Июнь	0,021131612
Волгоград	2014	Июль	0,021219858
Волгоград	2014	Август	0,016665211
Волгоград	2014	Сентябрь	0,010856468
Волгоград	2014	Октябрь	0,008553114
Волгоград	2014	Ноябрь	0,008053395
Волгоград	2014	Декабрь	0,006606944
Волгоград	2015	Январь	0,007382652
Волгоград	2015	Февраль	0,00753769
Волгоград	2015	Март	0,008800624
Волгоград	2015	Апрель	0,009768351
Волгоград	2015	Май	0,009663751
Волгоград	2015	Июнь	0,01299605
Воронеж	2014	Январь	0,008286417
Воронеж	2014	Февраль	0,009959646
Воронеж	2014	Март	0,011474177
Воронеж	2014	Апрель	0,013440359
Воронеж	2014	Май	0,018349106
Воронеж	2014	Июнь	0,022619324
Воронеж	2014	Июль	0,026277062
Воронеж	2014	Август	0,019478321
Воронеж	2014	Сентябрь	0,012214838
Воронеж	2014	Октябрь	0,009360183
Воронеж	2014	Ноябрь	0,008697186
Воронеж	2014	Декабрь	0,007413726
Воронеж	2015	Январь	0,00868861
Воронеж	2015	Февраль	0,008230156
Воронеж	2015	Март	0,009844765
Воронеж	2015	Апрель	0,011325361
Воронеж	2015	Май	0,011558337
Воронеж	2015	Июнь	0,013906183
Екатеринбург	2014	Январь	0,015226472
Екатеринбург	2014	Февраль	0,015399472
Екатеринбург	2014	Март	0,017602991
Екатеринбург	2014	Апрель	0,019882974
Екатеринбург	2014	Май	0,020994039
Екатеринбург	2014	Июнь	0,023475049
Екатеринбург	2014	Июль	0,026410285
Екатеринбург	2014	Август	0,022190921
Екатеринбург	2014	Сентябрь	0,018015724
Екатеринбург	2014	Октябрь	0,013500208
Екатеринбург	2014	Ноябрь	0,012462054
Екатеринбург	2014	Декабрь	0,009662537
Екатеринбург	2015	Январь	0,011607904
Екатеринбург	2015	Февраль	0,012304335
Екатеринбург	2015	Март	0,015349494
Екатеринбург	2015	Апрель	0,017699698
Екатеринбург	2015	Май	0,016421684
Екатеринбург	2015	Июнь	0,018069677
Казань	2014	Январь	0,012628919
Казань	2014	Февраль	0,011357994
Казань	2014	Март	0,012166438
Казань	2014	Апрель	0,013746163
Казань	2014	Май	0,017740731
Казань	2014	Июнь	0,019973816
Казань	2014	Июль	0,020719142
Казань	2014	Август	0,017733734
Казань	2014	Сентябрь	0,013542804
Казань	2014	Октябрь	0,010217783
Казань	2014	Ноябрь	0,009120189
Казань	2014	Декабрь	0,007216105
Казань	2015	Январь	0,008218249
Казань	2015	Февраль	0,008859504
Казань	2015	Март	0,010378638
Казань	2015	Апрель	0,011511783
Казань	2015	Май	0,011296897
Казань	2015	Июнь	0,012447734
Красноярск	2014	Январь	0,014252267
Красноярск	2014	Февраль	0,012590695
Красноярск	2014	Март	0,014107481
Красноярск	2014	Апрель	0,015097559
Красноярск	2014	Май	0,015170308
Красноярск	2014	Июнь	0,017190486
Красноярск	2014	Июль	0,019038999
Красноярск	2014	Август	0,016134658
Красноярск	2014	Сентябрь	0,012819616
Красноярск	2014	Октябрь	0,011350387
Красноярск	2014	Ноябрь	0,009866048
Красноярск	2014	Декабрь	0,007332427
Красноярск	2015	Январь	0,008380362
Красноярск	2015	Февраль	0,008669514
Красноярск	2015	Март	0,009201336
Красноярск	2015	Апрель	0,010844354
Красноярск	2015	Май	0,00973286
Красноярск	2015	Июнь	0,011656063
Москва	2014	Январь	0,019021183
Москва	2014	Февраль	0,019003398
Москва	2014	Март	0,021313576
Москва	2014	Апрель	0,023461149
Москва	2014	Май	0,025056073
Москва	2014	Июнь	0,027948323
Москва	2014	Июль	0,030130044
Москва	2014	Август	0,025380971
Москва	2014	Сентябрь	0,019233615
Москва	2014	Октябрь	0,016616316
Москва	2014	Ноябрь	0,0146045
Москва	2014	Декабрь	0,013179149
Москва	2015	Январь	0,01543124
Москва	2015	Февраль	0,015592372
Москва	2015	Март	0,01693238
Москва	2015	Апрель	0,016033871
Москва	2015	Май	0,014269741
Москва	2015	Июнь	0,016092788
Нижний Новгород	2014	Январь	0,011964551
Нижний Новгород	2014	Февраль	0,013368291
Нижний Новгород	2014	Март	0,015426107
Нижний Новгород	2014	Апрель	0,018689569
Нижний Новгород	2014	Май	0,021454318
Нижний Новгород	2014	Июнь	0,023833142
Нижний Новгород	2014	Июль	0,026195425
Нижний Новгород	2014	Август	0,021071584
Нижний Новгород	2014	Сентябрь	0,015222654
Нижний Новгород	2014	Октябрь	0,011660472
Нижний Новгород	2014	Ноябрь	0,010032904
Нижний Новгород	2014	Декабрь	0,008105766
Нижний Новгород	2015	Январь	0,009751014
Нижний Новгород	2015	Февраль	0,009818486
Нижний Новгород	2015	Март	0,011826548
Нижний Новгород	2015	Апрель	0,012758574
Нижний Новгород	2015	Май	0,012338741
Нижний Новгород	2015	Июнь	0,015058815
Новосибирск	2014	Январь	0,01075753
Новосибирск	2014	Февраль	0,010447944
Новосибирск	2014	Март	0,011688595
Новосибирск	2014	Апрель	0,013718881
Новосибирск	2014	Май	0,014886393
Новосибирск	2014	Июнь	0,015296554
Новосибирск	2014	Июль	0,017022922
Новосибирск	2014	Август	0,014733006
Новосибирск	2014	Сентябрь	0,011543364
Новосибирск	2014	Октябрь	0,010489086
Новосибирск	2014	Ноябрь	0,009375524
Новосибирск	2014	Декабрь	0,007514454
Новосибирск	2015	Январь	0,008207366
Новосибирск	2015	Февраль	0,008239154
Новосибирск	2015	Март	0,009052914
Новосибирск	2015	Апрель	0,011229645
Новосибирск	2015	Май	0,009949361
Новосибирск	2015	Июнь	0,010829545
Омск	2014	Январь	0,009888317
Омск	2014	Февраль	0,010584467
Омск	2014	Март	0,011767376
Омск	2014	Апрель	0,013086117
Омск	2014	Май	0,015322359
Омск	2014	Июнь	0,017012902
Омск	2014	Июль	0,019370295
Омск	2014	Август	0,015998627
Омск	2014	Сентябрь	0,011034351
