key	value
сайт	6581
отзыв	4154
карта	3315
цена	2813
туроператор	2644
достопримечательность	2259
отдых	2225
фото	2177
погода	2101
тур	1868
город	1596
отель	1567
поезд	1376
расстояние	1362
аэропорт	1212
пляж	1202
ресторан	1165
расписание	1124
билет	1079
добраться	1063
доехать	857
парк	855
частный сектор	854
санаторий	796
музей	778
слетать	733
машина	722
маршрут	718
стоимость	718
вокзал	713
кафе	708
море	705
база отдыха	647
купить	588
форум	563
аквапарк	538
автобус	534
экскурсия	529
место	528
посмотреть	524
номер	521
турфирма	521
русский	513
адрес	500
дети	480
клуб	470
гостевой дом	469
центр	461
турист	454
виза	449
