key	value
website	6581
review	4154
map	3315
price	2813
tour operator	2644
place of interest	2259
vacations	2225
photo	2177
weather	2101
tour	1868
city	1596
hotel	1567
train	1376
distance	1362
airport	1212
beach	1202
restaurant	1165
timetable	1124
ticket	1079
reach	1063
park	855
private sector	854
sanatorium	796
museum	778
fly	733
car	722
route	718
cost	718
railway station	713
café	708
sea	705
recreation center	647
buy	588
forum	563
water park	538
bus	534
excursion	529
place	528
check up	524
room	521
travel agency	521
russian	513
address	500
children	480
club	470
guest house	469
center	461
tourist	454
visa	449
